,title,subtitle,link
0,NOT KEANE THEN?,Keane blasts Haaland as a 'League Two player' after firing blank vs Arsenal,https://www.thesun.co.uk/sport/27046583/roy-keane-erling-haaland-league-two-arsenal/
1,GONE TOO SOON,'Terrific' footballer dies with club paying tribute to 'fantastic young man',https://www.thesun.co.uk/sport/27047938/ross-aitkenhead-death-winsford-fc-cheshire/
2,'ONE OF WORST TEAMS',Neville calls Man Utd 'horrible' and makes brutal Liverpool prediction,https://www.thesun.co.uk/sport/27051294/neville-man-utd-worst-horrible-prediction-liverpool/
3,SILVA MUDDLE,Watch Silva change mind on Prem title race after Sky reporter corrects him,https://www.thesun.co.uk/sport/27052307/bernado-silva-man-city-premier-league-title-reporter/
4,DRAWN AND QUARTERED,Pep berates Grealish at full-time after City are frustrated by Arsenal,https://www.thesun.co.uk/sport/27046230/pep-guardiola-jack-grealish-man-city-arsenal/
5,STALKING TACTICS,Man City star spotted sneaking up on Arsenal huddle to listen to tactics,https://www.thesun.co.uk/sport/27051314/man-city-bernardo-silva-sneaking-up-arsenal-arteta-tactics/
6,ARSENAL RATINGS,Rice comes out on top vs Rodri but Odegaard struggles to open up Man City,https://www.thesun.co.uk/sport/27045633/arsenal-ratings-man-city-premier-league/
7,EM-RAGED,Chelsea women's boss Emma Hayes shoves Arsenal manager in heated scenes,https://www.thesun.co.uk/sport/27045647/chelsea-emma-hayes-arsenal-jonas-eidevall-league-cup-final/
8,KYL-JOY,PSG boss Enrique rages 'it's so boring' after Mbappe rolls eyes at being subbed,https://www.thesun.co.uk/sport/27050751/psg-enrique-rages-boring-kylian-mbappe-rolls-eyes-subbed/
9,HE'S KEANE,Roy Keane saying 'sexy football' to describe bitter rivals blows fans' minds,https://www.thesun.co.uk/sport/27051267/roy-keane-sexy-football-liverpool-man-utd/
10,SEEING RED,'Uses games as his weekly stroll' - Liverpool fans demand ‘lazy’ star is sold,https://www.thesun.co.uk/sport/27047717/liverpool-brighton-gakpo/
11,SPOT OF BOTHER,Shearer hits back at Stelling in row over MOTD not covering Toon penalty,https://www.thesun.co.uk/sport/27040654/alan-shearer-jeff-stelling-match-of-the-day/
12,BUNK UP,England fans have chance to spend Euros staying in a bunker — for £26 per night,https://www.thesun.co.uk/sport/27049141/england-fans-euros-drab-bunker/
13,FUL ATTENTION,Liverpool and Tottenham prepare to battle Italian giants for Fulham star,https://www.thesun.co.uk/sport/27050763/liverpool-tottenham-tosin-adarabioyo-transfer-fulham-ac-milan/
14,SKY FOOLS,Fans spot Roy Keane seething as Sky Sports interrupt their own coverage for ad,https://www.thesun.co.uk/sport/27045377/roy-keane-man-city-arsenal/
15,KALVIN INCLINED,Phillips offered end to West Ham hell as he's wanted in emotional return,https://www.thesun.co.uk/sport/27036025/kalvin-phillips-west-ham-transfer-leeds/
16,HIT THE WAL,Roy Keane mocks Theo Walcott with brutal ten-word put-down after Klopp remark,https://www.thesun.co.uk/sport/27043681/roy-keane-theo-walcott-jurgen-klopp/
17,MIKE DROP,Sunderland line up ex-Prem boss after sacking Beale but have strict terms,https://www.thesun.co.uk/sport/27042907/sunderland-michael-beale-michael-heckingbottom-sheffield-united/
18,YOUNG GUNN,"My dad's a Double-winner and my uncle won Ballon d'Or, now I'm making my own way",https://www.thesun.co.uk/sport/27042177/arsenal-man-city-christopher-wreh-george-weah/
19,HAD A PHIL-LING,Fans baffled as supporter 'from the future' makes Phillips prediction,https://www.thesun.co.uk/sport/27044649/west-ham-kalvin-phillips-newcastle/
20,TAKE YOUR HAT OFF,Cristiano Ronaldo hits back at critics with brutal post after hat-trick,https://www.thesun.co.uk/sport/27040358/cristiano-ronaldo-al-nassr-man-utd-euro-2024/
21,FEEL THE BURN,'Nothing in their brains' - Icon slams board & flops for 'destroying Chelsea',https://www.thesun.co.uk/sport/27042107/chelsea-frank-leboeuf-burnley-draw/
22,CON WITH THE WIND,Chelsea set to sell James AND Gallagher for £100m to comply with FFP,https://www.thesun.co.uk/sport/27039557/chelsea-transfer-news-reece-james-conor-gallagher-ffp/
23,GRAVE ERROR,TNT host Hipgrave can't wait to get off air after embarrassing gaffe on live TV,https://www.thesun.co.uk/sport/27040173/tnt-sports-lynsey-hipgrave-newcastle-west-ham/
24,SEOUL SEARCHING,Jesse Lingard at risk of being dumped by new boss at Korean side FC Seoul,https://www.thesun.co.uk/sport/27041330/jesse-lingard-fc-seoul-manager/
25,BREACH FOR THE STARS,Who is presenter Jules Breach and when did she get married?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
26,NO HARD PHILL-INGS,Moyes gives brutally blunt four-word assessment of Kalvin Phillips sub,https://www.thesun.co.uk/sport/27034164/david-moyes-kalvin-phillips-west-ham-newcastle/
27,LOST HIS TUCH,'Loser' Tuchel makes bold Arsenal claim after conceding 'title is over',https://www.thesun.co.uk/sport/27042945/thomas-tuchel-arsenal-title/
28,MARC MY WORDS,Rashford's Man Utd performances described as 'heartbreaking' by Redknapp,https://www.thesun.co.uk/sport/27039281/marcus-rashford-man-utd-jamie-redknapp/
29,GOT SOME GALL,Fans claim Conor Gallagher 'blanks mascot' in tunnel before Burnley clash,https://www.thesun.co.uk/sport/27031877/conor-gallagher-chelsea-mascot-burnley/
